song id,genre id,song title,song artist,uri
1,1,All I Want for Christmas Is You,Mariah Carey,https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=9950ac751e34487dbbe027c4fd7f8e99
2,1,Last Christmas,Wham!,
3,1,Santa Tell Me,Ariana Grande,
4,1,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,
5,1,It's Beginning to Look a Lot like Christmas,Michael Bublé,https://p.scdn.co/mp3-preview/798a8bc5a7a95ccad75648a63bc50aa755dc2289?cid=9950ac751e34487dbbe027c4fd7f8e99
6,1,Jingle Bell Rock,Bobby Helms,
7,1,Underneath the Tree,Kelly Clarkson,https://p.scdn.co/mp3-preview/fe7e6cdab388c2f48c4719c9bc8bb2b094881186?cid=9950ac751e34487dbbe027c4fd7f8e99
8,1,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,
9,1,It's the Most Wonderful Time of the Year,Andy Williams,https://p.scdn.co/mp3-preview/b7f07feff3ed976d9e0fd53ba7e295e1782e4299?cid=9950ac751e34487dbbe027c4fd7f8e99
10,1,Snowman,Sia,https://p.scdn.co/mp3-preview/477ea14e861597aec13fee51e609e88c9d85d50a?cid=9950ac751e34487dbbe027c4fd7f8e99
11,1,Mistletoe,Justin Bieber,
12,1,Sleigh Ride,The Ronettes,https://p.scdn.co/mp3-preview/af8102ee02140590690efefd229d2182e5216ec5?cid=9950ac751e34487dbbe027c4fd7f8e99
13,1,Holly Jolly Christmas,Michael Bublé,https://p.scdn.co/mp3-preview/f7962fe13e7e25fcc1963373acf61d289bbcdf6d?cid=9950ac751e34487dbbe027c4fd7f8e99
14,1,Feliz Navidad,José Feliciano,https://p.scdn.co/mp3-preview/18c3d8b2baaace859430fc191b15fd419233896f?cid=9950ac751e34487dbbe027c4fd7f8e99
15,1,Wonderful Christmastime (Edited Version) [Remastered],Paul McCartney,
16,1,Christmas (Baby Please Come Home),Mariah Carey,https://p.scdn.co/mp3-preview/b218043b2fbb314ce430dda3631a8e7e49fb8953?cid=9950ac751e34487dbbe027c4fd7f8e99
17,1,Driving Home for Christmas,Chris Rea,https://p.scdn.co/mp3-preview/ceedafb966b1e9336e126bbca99daec3b87914c3?cid=9950ac751e34487dbbe027c4fd7f8e99
18,1,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",
19,1,Jingle Bell Rock,Daryl Hall & John Oates,
20,1,Do They Know It's Christmas? - 1984 Version,Band Aid,
21,1,Merry Christmas Everyone - Remastered,Shakin' Stevens,
22,1,Have Yourself A Merry Little Christmas,Sam Smith,https://p.scdn.co/mp3-preview/952b7becf57c9d625dcc8b01183baf205f902040?cid=9950ac751e34487dbbe027c4fd7f8e99
23,1,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",https://p.scdn.co/mp3-preview/c30c6e81fd4a43cd6fc97dd57002fd09b98efaa6?cid=9950ac751e34487dbbe027c4fd7f8e99
24,1,Last Christmas,Ariana Grande,https://p.scdn.co/mp3-preview/8dec4d9e6671f44543131f3326dd0cdd79a717cb?cid=9950ac751e34487dbbe027c4fd7f8e99
25,1,"Baby, It's Cold Outside - Remastered 2004",Dean Martin,https://p.scdn.co/mp3-preview/df0c041aa3c34d477e8da2e1192620c8e5819917?cid=9950ac751e34487dbbe027c4fd7f8e99
26,1,Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",
